CCPAYMENT_ID,CCPAYTRAN_ID,EXPECTED_AMOUNT,APPROVING_AMOUNT,APPROVED_AMOUNT,CCPAYMENT_STATE,TIMECREATED,TIMEUPDATED,TIMEEXPIRED
8305929187,330749321073,1782.31680,1782.31680,1782.31680,2,"2022-03-18 15:03:23","2022-03-18 15:03:59","2022-03-18 15:05:15"
16837199743,277654323148,662.36000,662.36000,662.36000,2,"2022-05-20 10:33:32","2022-05-20 10:34:31","2022-05-20 10:36:21"
23671563807,127187561115,154.28000,154.28000,154.28000,2,"2022-01-27 12:30:49","2022-01-27 12:32:21","2022-01-27 12:33:11"
24420215195,213095869570,556.80000,556.80000,556.80000,2,"2022-02-15 10:27:46","2022-02-15 10:29:26","2022-02-15 10:32:26"
30601529446,789872294047,199.28800,199.28800,199.28800,2,"2022-06-04 11:05:20","2022-06-04 11:05:57","2022-06-04 11:07:17"
56193830205,528034220251,87.05800,87.05800,87.05800,2,"2022-03-01 17:58:46","2022-03-01 17:59:46","2022-03-01 18:01:26"
72857319254,670510789132,87.05800,87.05800,87.05800,2,"2022-04-02 17:01:15","2022-04-02 17:01:45","2022-04-02 17:02:55"
83903386428,922938878431,504.60000,504.60000,504.60000,2,"2022-09-21 16:04:06","2022-09-21 16:05:16","2022-09-21 16:07:46"
84849632857,525734851076,104.38840,104.38840,104.38840,2,"2022-03-08 13:25:58","2022-03-08 13:27:18","2022-03-08 13:29:18"
86106526762,154900366708,185.60000,185.60000,185.60000,2,"2022-09-02 13:04:24","2022-09-02 13:04:54","2022-09-02 13:07:04"
89816679233,995912964004,134.50200,134.50200,134.50200,2,"2022-07-24 14:21:31","2022-07-24 14:22:21","2022-07-24 14:23:51"
109588876497,584420088118,894.33680,894.33680,894.33680,2,"2022-08-01 13:33:31","2022-08-01 13:34:33","2022-08-01 13:36:13"
126199252772,988370301243,597.40000,597.40000,597.40000,2,"2022-04-03 11:21:04","2022-04-03 11:22:54","2022-04-03 11:24:24"
146844777230,748810042110,163.56000,163.56000,163.56000,2,"2022-01-09 11:00:18","2022-01-09 11:01:21","2022-01-09 11:03:21"
178691081716,681644541144,487.20000,487.20000,487.20000,2,"2022-06-14 12:27:34","2022-06-14 12:28:54","2022-06-14 12:30:02"
182243448139,455469124028,504.60000,504.60000,504.60000,2,"2022-07-12 10:15:27","2022-07-12 10:16:37","2022-07-12 10:18:17"
184400307427,477785386104,115.98840,115.98840,115.98840,2,"2022-05-13 16:04:12","2022-05-13 16:05:16","2022-05-13 16:07:46"
247939218073,774539706657,302.06400,302.06400,302.06400,2,"2022-07-23 16:01:04","2022-07-23 16:02:04","2022-07-23 16:03:54"
250984580036,910135446758,308.56000,308.56000,308.56000,2,"2022-01-26 12:26:32","2022-01-26 12:27:34","2022-01-26 12:28:54"
272217526993,843678545557,81.78000,81.78000,81.78000,2,"2022-05-09 17:45:35","2022-05-09 17:46:12","2022-05-09 17:48:32"
277212338225,309745923550,184.44000,184.44000,184.44000,2,"2022-03-17 14:15:49","2022-03-17 14:16:49","2022-03-17 14:18:49"
290299154239,89938730604,185.60000,185.60000,185.60000,2,"2022-04-28 15:25:45","2022-04-28 15:26:25","2022-04-28 15:27:55"
315302452748,334261020925,737.76000,737.76000,737.76000,2,"2022-04-10 11:26:54","2022-04-10 11:28:12","2022-04-10 11:30:22"
326874418172,604892328351,145.00000,145.00000,145.00000,2,"2022-07-25 12:03:02","2022-07-25 12:04:12","2022-07-25 12:06:32"
342706237599,107066899681,104.38840,104.38840,104.38840,2,"2022-09-19 15:05:55","2022-09-19 15:07:15","2022-09-19 15:08:45"
348987895716,422955200736,561.44000,561.44000,561.44000,2,"2022-05-06 17:30:35","2022-05-06 17:32:35","2022-05-06 17:34:31"
355501500143,638478414809,145.00000,145.00000,145.00000,2,"2022-03-04 10:45:02","2022-03-04 10:46:12","2022-03-04 10:47:42"
360745157781,883163958825,996.42840,996.42840,996.42840,2,"2022-01-07 13:58:30","2022-01-07 13:59:30","2022-01-07 14:02:10"
367547658124,350502963347,269.00400,269.00400,269.00400,2,"2022-05-22 14:02:34","2022-05-22 14:03:31","2022-05-22 14:05:11"
368847419483,827266494167,827266494167.00000,827266494167.00000,827266494167.00000,2,"2022-02-05 13:00:03","2022-02-05 13:01:23","2022-02-05 13:02:53"
385553270550,253759462170,1033.52520,1033.52520,1033.52520,2,"2022-01-06 15:37:34","2022-01-06 15:37:55","2022-01-06 15:39:13"
424522890979,853958799667,174.00000,174.00000,174.00000,2,"2022-07-08 14:32:46","2022-07-08 14:34:16","2022-07-08 14:35:26"
431217944350,862357391456,435.00000,435.00000,435.00000,2,"2022-01-11 12:05:25","2022-01-11 12:06:10","2022-01-11 12:06:10"
438969340853,798802892200,324.80000,324.80000,324.80000,2,"2022-01-16 11:32:45","2022-01-16 11:33:45","2022-01-16 11:35:25"
451307014518,114724954416,603.31600,603.31600,603.31600,2,"2022-08-22 10:02:06","2022-08-22 10:02:43","2022-08-22 10:03:23"
463093417760,987277450018,371.20000,371.20000,371.20000,2,"2022-09-12 16:37:12","2022-09-12 16:38:32","2022-09-12 16:39:52"
