TICKET_ID,TIMEPLACED,EMPLOYEE_ID,CUSTOMER_ID,TOTAL_PRODUCT,TOTAL_TAX,TOTAL_ORDER,CCPAYMENT_ID
36701285,"2022-01-09 11:00:18",3,1,4.00000,22.56000,163.56000,355501500143
48937606,"2022-04-02 17:01:15",3,2,3.00000,12.00800,87.05800,178691081716
53957703,"2022-05-22 14:02:34",4,3,1.00000,37.10400,269.00400,72857319254
56714845,"2022-03-18 15:03:23",2,1,9.00000,245.83680,1782.31680,247939218073
60188437,"2022-09-02 13:04:24",5,2,1.00000,25.60000,185.60000,277212338225
67620743,"2022-01-11 12:05:25",5,3,2.00000,60.00000,435.00000,431217944350
84048495,"2022-07-12 10:15:27",2,1,3.00000,69.60000,504.60000,250984580036
102459992,"2022-03-08 13:25:58",3,2,1.00000,14.39840,104.38840,290299154239
120080542,"2022-04-10 11:26:54",1,3,1.00000,101.76000,737.76000,385553270550
147515781,"2022-02-15 10:27:46",1,2,1.00000,76.80000,556.80000,89816679233
156508130,"2022-01-27 12:30:49",1,5,2.00000,21.28000,154.28000,424522890979
159687857,"2022-01-16 11:32:45",2,2,2.00000,44.80000,324.80000,146844777230
162158408,"2022-05-20 10:33:32",2,2,4.00000,91.36000,662.36000,24420215195
205520764,"2022-01-06 15:37:34",4,5,3.00000,142.55520,1033.52520,184400307427
219973888,"2022-05-09 17:45:35",5,2,2.00000,11.28000,81.78000,182243448139
224410475,"2022-03-01 17:58:46",2,5,6.00000,12.00800,87.05800,342706237599
238204511,"2022-07-24 14:21:31",5,5,2.00000,18.55200,134.50200,16837199743
255660742,"2022-05-13 16:04:12",3,5,1.00000,15.99840,115.98840,126199252772
262984448,"2022-06-04 11:05:20",1,4,3.00000,27.48800,199.28800,368847419483
263890764,"2022-02-05 13:00:03",4,4,2.00000,72.16000,1033.52520,438969340853
264933961,"2022-07-23 16:01:04",1,1,3.00000,41.66400,302.06400,30601529446
270540857,"2022-08-22 10:02:06",3,2,2.00000,83.21600,603.31600,315302452748
272388740,"2022-07-25 12:03:02",2,1,1.00000,20.00000,145.00000,23671563807
283859458,"2022-09-21 16:04:06",1,2,1.00000,69.60000,504.60000,109588876497
287933691,"2022-09-19 15:05:55",4,1,1.00000,14.39840,104.38840,348987895716
288009088,"2022-03-17 14:15:49",2,5,3.00000,25.44000,184.44000,360745157781
301839262,"2022-04-28 15:25:45",2,1,4.00000,25.60000,185.60000,451307014518
317433510,"2022-01-26 12:26:32",5,1,2.00000,42.56000,308.56000,326874418172
404910302,"2022-06-14 12:27:34",1,3,3.00000,67.20000,487.20000,83903386428
407459794,"2022-05-06 17:30:35",3,2,2.00000,77.44000,561.44000,86106526762
407744780,"2022-07-08 14:32:46",2,3,1.00000,24.00000,174.00000,463093417760
412367561,"2022-08-01 13:33:31",5,4,1.00000,123.35680,894.33680,272217526993
421843710,"2022-09-12 16:37:12",2,4,2.00000,51.20000,371.20000,84849632857
458286378,"2022-03-04 10:45:02",2,3,3.00000,20.00000,145.00000,56193830205
489537837,"2022-01-07 13:58:30",3,2,2.00000,137.43840,996.42840,8305929187
491842836,"2022-04-03 11:21:04",1,3,1.00000,82.40000,597.40000,367547658124
